ID,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,CAR_sigma,CAR_mean,CAR_tau,Con,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Rcs,Skew,SmallKurtosis,Std
1121043059410,0.14147774999999907,1.0,3.0,0.39453125,0.0,156010.82906249998,0.0001,0.0,0.3018121646616434,0.4536105718522196,0.619613567923695,0.7308427215334979,0.8724185634143018,0.11154955602671314,0.03984956685599424,0.007196896736444244,0.023905461141592747,0.0,-1.097683690254161,-0.5287367907428968,0.30648307937513397,0.0347760945139378,0.021730044194774693,0.006334701436151233,0.005246206154947843,0.0,0.7753295390046159,-0.08265473722996797,0.8685605559626648,0.01684052829438981,0.0028961947820626286,0.007324933187735381,0.005417168353728405,0.0,0.11061460789911298,1.1641116733256207,0.2535894522031578,-1.0524459370275456e-05,173.44915682304108,15.60108290625,0.005774205996291653,0.07991550000000114,0.412109375,0.03333333333333333,0.031035388019422287,0.01677164487306537,0.30734867694278045,7.156468395877216e-83,0.23572811177779898,0.3821535032178039,0.16210274999999896,0.09218725275988537,-0.2823572821772723,0.2060127440646662,0.09008386646591195
1138036030549,0.17463549999999906,1.0,2.0,0.14485981308411214,0.0,169969.26268691587,0.0001,0.0,0.2467356437618101,0.3885893722092722,0.5378759967145331,0.6724421745023538,0.8314297593012371,0.09412125000400678,0.009110510070001975,0.020397318376818855,0.01743200686903682,0.0,-0.4474625798724369,0.08758075475977889,0.3121147358113263,0.0513696547011735,0.008222409588214978,0.008709274504434598,0.01289205320612981,0.0,-0.5135943011158857,-0.9110872597774677,1.5749387369652963,0.046107238826735814,0.009239461447606354,0.006950862866713399,0.01768309211808816,0.0,-0.3323202751122073,-1.2755738766437699,-0.3374480545470959,3.7558165505590754e-05,203.84297365510864,16.99692626869159,0.008101045448716171,0.0785234999999993,0.9719626168224299,0.1,0.08378236324056022,0.017406109238578014,0.19868039339754656,5.746349492709227e-19,0.1444080572168746,1.5260804775130292,0.1588842500000034,0.14485276140350684,-3.772986921376596,35.37037329371087,0.1376928721911483
1101011025752,0.3379265,0.9999963267701456,3.0,0.3333333333333333,0.0,167655.70578231293,0.0001,0.017123287671232876,0.13871101511015915,0.2553838159934827,0.3660595180004509,0.543006410117623,0.7517873886056685,0.18171525158809718,0.04887084242149052,0.02577659930862563,0.0346437884227676,0.0,0.3113247734033341,-0.2857575534284209,-0.6940402762268073,0.12058979324625668,0.009881384746042188,0.009342109280970267,0.028715380337645098,0.0,-1.3700924757715387,-1.0372627007747235,-0.9536943045461008,0.06295314780960198,0.018374504271261825,0.02206957427137092,0.015853324538831065,0.0,-2.3338438519587217,-2.3273897165469384,0.13615054375300506,-1.9563780388785256e-05,136.6128971855902,16.765570578231294,0.010558000731141116,0.1130194999999965,0.42857142857142855,0.1,0.03586478939807491,0.03577859880794843,0.3512590954706189,2.0065888881910105e-26,0.1921589699287875,0.8799435475584714,0.2224554999999988,0.11461688761926567,-0.532616103952851,0.06800234254885895,0.177010906422964
1135066008555,0.2558189999999989,0.4849550692821359,1.0,0.3212996389891697,0.0,182848.59368231046,0.0001,0.0,0.16744458783523036,0.28892510291168755,0.39854840380938067,0.5625335581533382,0.7895256172345243,0.06872776654859897,0.02099631021984238,0.028772961422371575,0.03735897470044348,0.0,0.09011501596854488,0.12767748898598597,2.997017085416166,0.055414047583301096,0.02475836657531986,0.01035439808313928,0.02852470185848126,0.0,1.8147558720579535,-0.6569917259575377,1.589482778796521,0.04447249975369728,0.002929976137696382,0.012895956534074628,0.009484470544558133,0.0,0.12838441790924437,-0.1344539009977378,0.91502470946134,-4.4281493165910034e-06,72.330033099389,18.284859368231047,0.007122747539498827,0.08527499999999932,0.4368231046931408,0.03333333333333333,0.022932335040129367,0.023213597007088378,0.301459999596187,6.374498720283935e-05,0.162725735173458,1.7437958016210098,0.17016100000000023,0.14166752308411934,-0.22289506058565794,0.09888717693253923,0.13023843707514976
1132054017531,0.2886059999999979,0.9935734132431251,3.0,0.3582089552238806,0.0,169398.61686567162,0.0001,0.0,0.1843358766585816,0.32741665187989205,0.4523925001478693,0.638090731649612,0.8315155458291477,0.18899395828510937,0.033539959349138865,0.01602851355909213,0.018030478003551637,0.0,1.5794568927312114,1.5704332650037276,2.7192534914444613,0.053685627721696196,0.01726585804550999,0.01187916442121579,0.0024179459125885767,0.0,-1.077454658037842,1.8191906830458056,0.2796820377609936,0.03609095684673544,0.006743260532953497,0.011658013226694125,0.007512222054433566,0.0,0.29142190716107363,-0.7413601790665619,-0.42973345511612393,-7.756299037908302e-06,342.7074542597778,16.939861686567163,0.009244153614857595,0.11584799999999618,0.3641791044776119,0.03333333333333333,0.026298275677494574,0.029949477196479557,0.3917935288168534,9.526008105877547e-47,0.28150840301702873,0.6314023632933784,0.22943300000000022,0.06381982645195294,-0.08446836357215626,-0.5868176802284828,0.1565946836450675
1109084041980,0.22240000000000038,1.0,3.0,0.48476454293628807,0.0,156575.9273130194,0.0001,0.0,0.3537590610651641,0.5294112103957564,0.6986979393659533,0.82811009208893,0.9049380302062981,0.20826685987979737,0.022511909227691425,0.022680332648851467,0.02897520972170572,0.0,0.276013472005185,-0.5444777274354908,1.6319962624419027,0.02413508846400683,0.0032487683813391256,0.006473462141762866,0.001163532242325996,0.0,-1.0756125238051706,-0.5523968589077629,-0.9663991958287441,0.02268934519125227,0.0019319209449746542,0.004768864181014913,0.007703163633997063,0.0,-0.3356451929537465,1.8628665045470325,0.39634718928060864,2.0409921372315015e-06,64.15579179170378,15.657592731301941,0.009742237771994894,0.12673300000000154,0.18005540166204986,0.1,0.01944768986270039,0.027037159637401775,0.3689779975705888,8.900642980908848e-68,0.26874810307377217,0.11258283775100715,0.2947159999999993,0.11785036580553912,-0.1694824505185074,-1.4290004286723406,0.15253999132540247
1126078006918,0.3531987499999971,1.0,1.0,0.2010443864229765,0.0,181458.73232375976,0.0001,0.0,0.19993144929074497,0.31442331280872077,0.42921791296147904,0.6010592302486091,0.7759592314665238,0.15948665006658017,0.059278593647658785,0.046719388327840485,0.01645373362170157,0.0,0.7434177606484466,1.548522091438613,-0.769227048802368,0.06684872993895621,0.02649673004830864,0.016889085189358145,0.02047895590863988,0.0,0.7762046479534658,-1.0610852127593797,0.14421547987170252,0.06091092750761424,0.008348660055004179,0.022215306467005598,0.03243426577628408,0.0,1.2574673551316535,1.9477978799304876,1.5030247402331347,2.127937503058847e-06,1799.7078994740675,18.145873232375976,0.011844995104039701,0.1227879999999999,0.6266318537859008,-0.16666666666666666,0.06820419429848727,0.03171242469666784,0.16628010040673838,1.6843164475413835e-19,0.18000803132757925,1.335718134015212,0.24604800000000182,0.07753046416132924,1.996986665783687,8.381283686766357,0.2149377795960185
1001020035803,0.08785449999999884,0.960312542672272,2.0,0.34824281150159747,0.0,161838.86881789134,0.0001,0.0,0.2011521453975062,0.33279016619563145,0.47231199881001756,0.63203694438062,0.7993143923514822,0.03528042985900419,0.004283416320965363,0.00834318666302308,0.007632460875182142,0.0,-0.3207788787888638,0.15384349494212013,-1.9919066852363843,0.022062870590460665,0.006314951740188527,0.003770512163723118,0.00742271694774982,0.0,-1.705135551681275,0.7852478596472438,-0.6736855824043924,0.01412608814031874,0.0005741514559643691,0.004682867283424015,0.0017034288720829854,0.0,-1.1129432823211007,0.9340451306591386,-0.628983049721746,-1.3852083482359615e-06,20.8042292703405,16.183886881789135,0.002873402058793052,0.03536100000000175,0.33865814696485624,-0.03333333333333333,0.007321880881833798,0.009138325220771569,0.1988444733782802,1.6451991499073789e-16,0.1903179584621387,1.5676587865242726,0.06929100000000687,0.08811461166243446,0.0074148072560134524,-0.5437782728026006,0.04650281388540677
1112067042755,0.22999975000000106,1.0,3.0,0.42010309278350516,0.0,160462.62747422679,0.0001,0.0,0.27477967776573503,0.43539048951528203,0.5946193188905993,0.7275342254661489,0.8456778195497977,0.1785216848031508,0.021626014249289557,0.007596439978276473,0.0266082774999966,0.0,1.9451715505635525,-0.0895031606553035,1.046863842307681,0.04668895122461092,0.034621818904538394,0.00914010654366486,0.005610052737601815,0.0,-1.194507659419988,-0.1927584755249594,-2.8273281978518248,0.03164037179370844,0.00858321830060227,0.005009962424762345,0.0040483821244368615,0.0,-0.529659124804932,0.4294896266709187,1.9110448380454892,-1.0661617116661442e-07,134.50275405913453,16.04626274742268,0.008529505607497524,0.11981599999999926,0.21391752577319587,0.3,0.02023874207654021,0.025458378055478754,0.3870264560470628,1.0212979156777954e-67,0.26823677918098116,0.23082993261617438,0.24148175000000016,0.10552121172520885,-0.2636193857465082,-1.0821806596187171,0.13686668808352037
1129004050656,0.4924040000000005,0.24388591866097126,1.0,0.3103448275862069,0.0,188178.14751724133,0.0001,0.0,0.1451175428574182,0.2688663847110263,0.4220957529031654,0.6043075844786777,0.7958433946050785,0.21032346040653804,0.06865892683712006,0.045539442058070145,0.01165310697533229,0.0,-1.757553273486411,-0.12875046816223024,-1.8758926153819158,0.07292474515309394,0.03487731984795341,0.021692886893424874,0.016722580267116156,0.0,-1.7884768260228574,-1.448823928239272,0.21825890984749574,0.06844816431449577,0.01975549479847152,0.01412070731493763,0.009356028492630421,0.0,0.5237332319133985,0.8964976122789382,-1.5124456254054617,-4.8273967340460294e-05,351.9516133605559,18.817814751724136,0.013946955774643586,0.17474200000000017,0.46206896551724136,-0.03333333333333333,0.04650449835242416,0.04429014523963259,0.45965486982978704,8.690926379348968e-17,0.18932489680000728,1.3210430049388961,0.3526762500000018,0.1271039783909734,0.011880943851107084,0.2887772227875911,0.2624512301177322
